Job_Title,Years_of_Professional_Experience_Overall,Total_Compensation
"Medical Illustrator","8 - 10 years",81000
"Support Analyst","11 - 20 years",95680
"Assistant Director of Admission","8 - 10 years",108500
"Administrative Coordinator","2 - 4 years",88514
"Sales Account Manager","21 - 30 years",85000
"Director, Implementation","8 - 10 years",96000
"Accounting Assistant","2 - 4 years",38000
"Senior Advisor, System Architecture","8 - 10 years",112000
"Advanced EMT","21 - 30 years",40475
"Vocational Program Coordinator","31 - 40 years",43598
"Senior Advisor","2 - 4 years",48300
"Revenue Agent 1","11 - 20 years",35000
"Pharmacy technician","11 - 20 years",110460
"Senior lecturer","8 - 10 years",136500
"Sales and Service","21 - 30 years",89400
"Senior Security and Compliance Consultant","21 - 30 years",230000
"Product Marketing Senior Advisor","21 - 30 years",127000
"Full stack programmer 1","2 - 4 years",110000
"Constituency Assistant for an MLA","21 - 30 years",54000
"Technical Product Marketing Manager","11 - 20 years",200000
"Administrative Secretary","11 - 20 years",52000
"Job board manager","21 - 30 years",54900
"Sr. Medical Device Engineer","2 - 4 years",132000
"Lighting Lot Pick Manager","1 year or less",27540
"Senior Engineer","2 - 4 years",235260
"Interface Analyst","11 - 20 years",81000
"Professor of Law","21 - 30 years",172000
"Associate Vice Chancellor","11 - 20 years",130000
"Creative Digital Lead","5-7 years",57500
"Teen Librarian","2 - 4 years",44500
"Director of Marketing Communications","11 - 20 years",127000
"Monitoring and Evaluation Officer","5-7 years",58000
"Compliance Specialist","2 - 4 years",52000
"Associate Director of Programs","8 - 10 years",85000
"NetSuite Administrator and Developer","2 - 4 years",105000
"Knowledge and Information Coordinator","11 - 20 years",27000
"Tools and Automation Engineer","11 - 20 years",189560
"PR Account Manager","21 - 30 years",40000
"Capacity Coordinator","11 - 20 years",60500
"Sr Technical Program Manager","11 - 20 years",245000
Dentist,"11 - 20 years",335000
"Natural Resource Manager","21 - 30 years",90000
"Personnel Advisor","11 - 20 years",30000
"Radio Producer","11 - 20 years",24000
Trainer,"5-7 years",120000
"Manager, Volunteer Programs","2 - 4 years",51000
"Snr Data Engineer","11 - 20 years",87000
"Service Account Manager","2 - 4 years",38000
"Multimedia & Graphic Designer","2 - 4 years",43000
"Software Engineering Manager","21 - 30 years",264000
"Unit Head","21 - 30 years",69613
"Teller II","5-7 years",43000
"Art Curator and Professor","8 - 10 years",410000
"Security operation specialist","2 - 4 years",89000
"Loyalty product manager","21 - 30 years",63000
"Senior Manager, Analytics","8 - 10 years",185000
"Practice Administrator","8 - 10 years",89000
"Game Test Analyst","11 - 20 years",47000
"Project Manager II","5-7 years",131742
"Digital pr the executive","8 - 10 years",27000
"Research Data Coordinator","8 - 10 years",45000
"Head of HR","11 - 20 years",79000
"Demand Planner","31 - 40 years",29000
"Contract Administrator","5-7 years",188400
"Field Manager","21 - 30 years",46300
"Digital Skills Developer","21 - 30 years",34000
"Vice President, Partnerships","21 - 30 years",240000
"Security Concierge","31 - 40 years",23500
"Sr. Engineer, Software Development","2 - 4 years",119236
"President & CEO","31 - 40 years",138000
Producer,"5-7 years",135000
"Consumer Care Associate","21 - 30 years",22000
"Receptionist/Admin Assistant","5-7 years",72900
"Senior Programmatic Associate","2 - 4 years",65000
"Home Repair Advocate","5-7 years",55250
"Chartered Accountant","8 - 10 years",36000
"Management Accountant","11 - 20 years",69600
"Best Buy Sales Advisor","5-7 years",31200
"Scientific director","21 - 30 years",80000
"Materials Manager","21 - 30 years",201000
"Advanced Geophysicist","11 - 20 years",46500
"Distribution centre manager","21 - 30 years",48000
"Customer Success Lead","11 - 20 years",116000
"Technical Director","21 - 30 years",914000
"Web/TV reporter","21 - 30 years",140000
Barista,"8 - 10 years",21000
"Senior Embedded Software Engineer","11 - 20 years",256000
"Editorial Lead","5-7 years",56160
"Technical SEO Manager","11 - 20 years",103000
"Platform Engineer","31 - 40 years",112000
"Supervisor (HR specialist)","11 - 20 years",85000
"Assistant commissioner","11 - 20 years",152000
"Data Engineer","5-7 years",644000
"Jr. Systems Engineer","1 year or less",78300
"Access Services Assistant","5-7 years",38000
"Sr. Marketing Specialist","11 - 20 years",75000
"Staff Editor/Writer","21 - 30 years",84000
"Learning Artist","5-7 years",24321
"Manager, Employer Brand","5-7 years",90000
"Medication History Specialist","11 - 20 years",44700
"PR Manager","11 - 20 years",147000
"Global Logistics Manager","11 - 20 years",85600
"Ecommerce Sales Admin","21 - 30 years",24500
"Tech project coordinator","41 years or more",42300
"Director of Chemistry","11 - 20 years",105000
"Communications Planning","2 - 4 years",70000
"Senior Sales Consultant","31 - 40 years",25000
"Land and planning manager","21 - 30 years",52500
"Communications Specialist I","5-7 years",64955
"Clinical Trials Manager","11 - 20 years",62000
"Inside Sales","5-7 years",57000
"Organisational and Professional Development Partner","31 - 40 years",39000
COO,"21 - 30 years",450000
"Systems admin - support","21 - 30 years",26000
"RN Engineer","21 - 30 years",54000
"Development programmer","11 - 20 years",38350
Electrician,"11 - 20 years",30000
"Sr developer","11 - 20 years",34800
"Network architect","31 - 40 years",116000
"Social Strategist","5-7 years",65000
"Engineering Manager","31 - 40 years",806000
"Beamline Scientist","8 - 10 years",40295
"Quality Systems Manager","8 - 10 years",88000
"Operations Manager & Executive Assistant","21 - 30 years",75500
"Community Support Manager","11 - 20 years",126500
"Interior Designer","2 - 4 years",41200
"Production Lead","5-7 years",228000
"Senior Client Success Manager","5-7 years",125000
"Lead Technical Writer/Editor","21 - 30 years",102000
"Contracts Manager","8 - 10 years",215000
"Grants and Sponsorships Manager","11 - 20 years",67000
"Media Relations Director","8 - 10 years",61000
"Digital marketing Manager","2 - 4 years",218000
"Business Software Analyst III","11 - 20 years",100000
"Fundraising consultant","11 - 20 years",241000
"IT Consulting","11 - 20 years",136000
"Process engineer two","11 - 20 years",98000
"Head of Product","21 - 30 years",265350
"SOC Engineer","11 - 20 years",125000
"Service Core Director","11 - 20 years",171000
"Product Analyst","21 - 30 years",100000
"Tax Examiner","11 - 20 years",45000
MD,"5-7 years",560000
"Senior frontend developer","8 - 10 years",175000
"Secretary 1","11 - 20 years",46800
"UX Manager","5-7 years",90000
"Associate Staff Firmware Engineer","21 - 30 years",215000
"Site Manager","11 - 20 years",30000
"Music director and organist","11 - 20 years",59000
"IT Support Technician","8 - 10 years",43000
"Brand supervisor","11 - 20 years",20675
"Director, Product Management","21 - 30 years",424000
"Head of operations","8 - 10 years",43000
"Client Marketing Manager","2 - 4 years",50000
"Security Engineer","8 - 10 years",277500
"Management Analyst 2","5-7 years",47000
"3d artist","8 - 10 years",21000
"Service Desk Lead","5-7 years",48000
"Electronic Systems Product Specialist","8 - 10 years",113000
"Human Resources Assistant","31 - 40 years",42000
"Info Tech Support Specialist","21 - 30 years",70000
"Audiovisual Translator","2 - 4 years",240000
"Contract Software Consultant","21 - 30 years",230000
"Environmental Manager 1","11 - 20 years",61392
"Senior Program Assistant","2 - 4 years",52000
"Development Producer","5-7 years",36000
"Technical Operations Manager","11 - 20 years",164000
"Director of Special Projects","11 - 20 years",105000
"HR Administrator","2 - 4 years",102300
"Marketing & Communications Associate","2 - 4 years",52000
"Manager, Digital Content","11 - 20 years",88700
"Director, Human Resources","21 - 30 years",165450
cartoonist,"5-7 years",18000
"Information Security Engineer","5-7 years",125000
"Programming Manager","5-7 years",65800
"Senior Grants Manager","8 - 10 years",62000
"VP of Investor Relations","5-7 years",180000
"Director of customer success","5-7 years",223600
"Frontend UI Developer","11 - 20 years",58000
"Marketing Campaign Manager","11 - 20 years",188700
"Art Director for Games","21 - 30 years",48000
"Water treatment operator","5-7 years",52000
"Associate Director, Project Operations","8 - 10 years",75000
"Quality Assurance Lead","5-7 years",60500
"Creative Artworker","11 - 20 years",45000
"Advanced Analytical Chemist","5-7 years",37500
"Organizing Director","11 - 20 years",89000
"Senior Civil Project Manager","11 - 20 years",205000
"Sr. Manager, Community","11 - 20 years",190000
"Senior Manager Portfolio Quality","21 - 30 years",103600
"Medical laboratory scientist","31 - 40 years",75375
"Contact Representative","2 - 4 years",37954
"Planning Director","21 - 30 years",158000
"Director, R&T","8 - 10 years",132000
"Communications Associate","8 - 10 years",123000
"Senior Audit Associate","2 - 4 years",72500
"Senior Front-End Developer","8 - 10 years",70000
"Training Coordinator/Risk Communicator","2 - 4 years",68000
"Lead Reliability Engineer","11 - 20 years",116000
"Freelance artist/illustrator","5-7 years",18000
"Policy Manager","2 - 4 years",26000
"Owner and founder","21 - 30 years",75700
"Commercial Developer","11 - 20 years",36850
"Cybersecurity Researcher","11 - 20 years",175000
"Lifeguard, Swim Instructor","1 year or less",34320
"Supervising producer","5-7 years",75000
"Commercial Loan Officer","5-7 years",90000
"Lead Engineer","2 - 4 years",80000
"Technology Manager","31 - 40 years",72000
"Crime Data Analyst","8 - 10 years",89170
"Research Coordinator","21 - 30 years",87197
"Lead Project Analyst","11 - 20 years",95500
"Copy Manager","11 - 20 years",145000
"Manager Indigenous Services","11 - 20 years",110000
"Adult Services Librarian","2 - 4 years",55120
"Senior SRE","11 - 20 years",145000
"Physician (family medicine)","2 - 4 years",200000
"DevOps contractor / consultant","11 - 20 years",90000
"Customer Service Associate","8 - 10 years",24350
"Client Services Representative","8 - 10 years",40000
"Senior Campaign Writer","8 - 10 years",88000
"Construction Project Accountant","8 - 10 years",75000
"Research officer","5-7 years",80000
"Tax Accountant- Public Accounting","2 - 4 years",59200
Illustrator,"21 - 30 years",145400
"SEO Director","5-7 years",85000
"Chief Risk Officer","21 - 30 years",195000
"Agency Attorney","8 - 10 years",91000
"Customer Support Coordinator","2 - 4 years",320000
"Lead Process Analyst","11 - 20 years",125000
"Crisis Line Manager","8 - 10 years",56000
"Recreation supervisor","21 - 30 years",54000
"Air traffic controller","2 - 4 years",217000
"Assistant Actuary","11 - 20 years",126500
"Research project manager II","11 - 20 years",107000
"Senior UX Designer","31 - 40 years",135000
"Service delivery manager","11 - 20 years",67000
Cashier,"2 - 4 years",66080
"Lab Scientist","11 - 20 years",95000
"Software Development Team Lead","21 - 30 years",56700
"Manager of technology resources","11 - 20 years",74000
"Assistant Fashion Designer","5-7 years",35000
"Social Research Specialist","8 - 10 years",55000
"Domain Architect","21 - 30 years",205000
"Finance and Accounting Manager","11 - 20 years",86796
"Student adviser","11 - 20 years",24600
"Network and systems engineer","11 - 20 years",102000
"Data Engineer","11 - 20 years",572000
"Global Financial Crimes Director","8 - 10 years",125000
"Sr. Administrative Coordinator I","21 - 30 years",62000
"Compliance Associate","2 - 4 years",111000
"Client Care Manager","11 - 20 years",79050
"Teacher / Department chair","11 - 20 years",63000
"Management Consultant","2 - 4 years",205200
"Sr. Security Engineer","21 - 30 years",168000
"Associate Technology 2","11 - 20 years",82891
"Project Coordinator","1 year or less",46000
"Associate Consultant","11 - 20 years",310000
"Assistant treasurer","21 - 30 years",55500
"Commercial Transformation Manager","11 - 20 years",48000
"Global Partner Marketing Manager","11 - 20 years",185380
"Contract Partner","8 - 10 years",225000
"Web Services Librarian","2 - 4 years",49000
"Configuration Management Specialist","2 - 4 years",80000
"EHR implementation coordinator","5-7 years",77000
"Post market Surveillance Medical Device Analyst","5-7 years",66000
"Survey Manager","11 - 20 years",29930
Typist,"5-7 years",910000
"Developer Advocate","11 - 20 years",246000
"Rate analyst","8 - 10 years",70000
"Promotions Producer","11 - 20 years",60000
"Director Property Tax","11 - 20 years",210000
"Director of Economics","11 - 20 years",160000
"Marketing Project Coordinator","2 - 4 years",44500
"Medical assistant","8 - 10 years",52000
"Photo Retoucher","5-7 years",70000
"Sales representative","1 year or less",133500
"Solutions Architect","11 - 20 years",1258000
"Statistics Supervisor","8 - 10 years",121020
"Archivist and Records Manager","5-7 years",62271
"Commercial Interconnection Specialist","2 - 4 years",54000
"Deputy Director, Digital Media","8 - 10 years",58000
"Assistant Public Defender II","11 - 20 years",102500
"Relief Clerk","2 - 4 years",47840
"Senior Technical Project Manager","8 - 10 years",160000
"Enterprise Architect","31 - 40 years",507000
"Senior iOS Developer","11 - 20 years",125000
"Senior  director of information technology","21 - 30 years",137000
"Education Manager","21 - 30 years",179500
"Associate Account Representative","1 year or less",141752
"Operations Supervisor","5-7 years",51600
"Title Processor","8 - 10 years",54393
"Director, HR","11 - 20 years",110000
"financial analyst 1","1 year or less",77000
"Manager of Public Safety","8 - 10 years",51000
"Back End Developer","8 - 10 years",115000
"lead programmer","11 - 20 years",144000
"Senior biostatistician","11 - 20 years",188000
"Processing Archivist","8 - 10 years",39000
"Tech Support Lead","11 - 20 years",113000
"Academic Coach","5-7 years",52000
"Instacart Shopper","1 year or less",45000
Caregiver,"8 - 10 years",58800
"Head of Business Development","21 - 30 years",175000
"Head of Year/Teacher","8 - 10 years",48000
"Knowledge Management Specialist","11 - 20 years",60000
