City,Industry,Average_Salary
Baden-Württemberg,"Computing or Tech",34086
Annapolis,"Computing or Tech",138000
Alexandria,Association,67000
Cluj-Napoca,"Computing or Tech",72120
Milwaukee,Retail,43000
Newburgh,"Education (Primary/Secondary)",73858
"Cherry Hill","Recruitment or HR",70000
Durham,"Technical writing",92000
Chelmsford,Insurance,43173
"Richmond, VA","Education (Primary/Secondary)",89000
"Philadelphia, PA Suburbs","Government and Public Administration",80000
"Santa Clara","Education (Primary/Secondary)",60000
Brussels,"Business or Consulting",34960
Wilmslow,"Government and Public Administration",31913.334
Raritan,"Property or Construction",97000
Lahaina,"Recruitment or HR",55000
"Grand Rapids","Marketing, Advertising & PR",64166.666666666664
"Birmingham, AL","Health care",78000
Decatur,"Agriculture or Forestry",72000
Boxborough,"Engineering or Manufacturing",160000
Baltimore,Apparel,95000
Escondido,"Computing or Tech",50000
Seymour,"Agriculture or Forestry",46000
Zug,"Consumer Goods",179520
Glasgow,"Leisure, Sport & Tourism",13284
Virginia,"Recruitment or HR",67705
"New Haven metropolitan area",Nonprofits,29000
Tulsa,"Hospitality & Events",51000
Manchester,"Educational Publishing",90000
"New York",consulting,205000
Lenexa,"Computing or Tech",93000
Broomfield,"Recruitment or HR",86500
"Mountain View","Engineering or Manufacturing",133625
Missoula,"Mental Health",43000
Perth,Retail,14582.88
Paterson,"Health care",80000
Leominster,Library,31096
"Upstate, NY",Nonprofits,75000
"Rock Island","Government and Public Administration",43200
Edmonds,"Business or Consulting",175000
"District of Columbia","Recruitment or HR",71000
Albany,"Utilities & Telecommunications",60900
"Woods Hole","Scientific research",40500
Toledo,Nonprofits,112000
Durham,"Agriculture or Forestry",82200
Cork,"Property or Construction",36533.2
Warsaw,"Engineering or Manufacturing",81000
Apex,"Computing or Tech",190550
Tacoma,"Property or Construction",52000
"Edison, NJ","Recruitment or HR",62700
Joplin,"Education (Higher Education)",43500
Bennington,"Education (Higher Education)",123000
Lenexa,"Health care",58000
"San Diego, CA","Health care",59000
Minneapolis,"Utilities & Telecommunications",76000
Richmond,"Environmental survey",52000
Alexandria,"Property or Construction",72000
Ames,"Transport or Logistics",36000
"Los Angeles",Training,110000
"New York, NY",Law,265000
Wichita,"Marketing, Advertising & PR",74000
Lockport,Sales,24000
"Little Rock",Nonprofits,41000
Raleigh,"Social Work",58236
"Oklahoma City","Marketing, Advertising & PR",88000
Chicago,"Auction house",55000
Centennial,Law,42800
"Northwest Lower MI","Education (Primary/Secondary)",51500
"West Babylon","Real Estate Association",47000
Melville,Insurance,160000
"Newport Beach, CA","Environmental Services",62500
"Prefer not to respond",Research,106000
"Lakewood (live in Denver)",Entertainment,37514
Mansfield,"Education (Higher Education)",90300
"Rural west-central MN","Health care",139000
Turku,"Engineering or Manufacturing",40422.5
"Needham, MA","Marketing, Advertising & PR",61000
Dulles,"Transport or Logistics",38000
"Salmon Arm","Computing or Tech",125000
"Santa Clara","Marketing, Advertising & PR",150000
"Lake Orion",Insurance,228800
Raleigh,"Media & Digital",105333.33333333333
Chanhassen,"Media & Digital",72800
"St. Charles","Education (Primary/Secondary)",19000
Winnipeg,"Social Work",61200
Amarillo,"Transport or Logistics",78000
Lenexa,Nonprofits,80000
Detroit,"Higher education/Libraries",62000
Toronto,Finance,148240
Germany,Research/Academia,38019
"Office: Lansing, MI and wfh Ypsilani MI","Health care",77016
Missouri,"Computing or Tech",80
Burlington,"Food processing and packaging",114240
"White Plains","Transport or Logistics",82000
Bellingham,"Hospitality & Events",31200
Sacramento,Biotechnology,58000
Surrey,"Health care",51000
"Universal city","Food service",29000
Minneapolis,Philanthropy,80000
Monroe,"Engineering or Manufacturing",59750
Fresno,Insurance,97500
"Crescent City","Accounting, Banking & Finance",75000
Portland,Research,40300
"San antoni","Engineering or Manufacturing",76000
orlando,"Media & Digital",48000
Buford,"Accounting, Banking & Finance",250000
Luxemburg,"Computing or Tech",79534
Montpelier,"Government and Public Administration",49500
Saginaw,Nonprofits,65000
Richmond,"Property or Construction",85375
Worcester,"Hospitality & Events",73000
Miami,"Engineering or Manufacturing",86000
Medford,Nonprofits,67133.33333333333
"Washington D.C.",Retail,50386
Cleveland,"Media & Digital",73450
Turin,"Computing or Tech",117990
Naas,Retail,26220
Anaheim,"Education (Primary/Secondary)",80000
Sebring,"Parks and recreation, land management but with customer service included",27460
"Costa Mesa",Insurance,52000
"Eden prairie","Marketing, Advertising & PR",68500
"St. Johns","Education (Higher Education)",123760
"Tysons corner","Computing or Tech",104000
"New Tecumseth","Government and Public Administration",81600
"Los Angeles","Research and Evaluation",115000
Manchester,"Benefits Administration",108000
"Stevens Point",Retail,54000
"White Plains","Government and Public Administration",54110
Halifax,Law,97580
Murray,Retail,17472
Graz,Law,46496.8
"New Orleans","Public Health",50500
Jefferson,"Early Education",40000
Appleton,"Health care",64105
"New Bern","Computing or Tech",130000
Dublin,Publishing,21850
"Port Orchard","Recruitment or HR",38000
Hampton,Nonprofits,27000
Redmond,"Recruitment or HR",70000
Mid-Michigan,"Utilities & Telecommunications",126000
"Des Moines",Library,71594
"Upstate NY","Health care",109600
"Washington, DC",Museum,64137
Alberta,"Utilities & Telecommunications",73984
Knightdale,"Government and Public Administration",50000
"Lakewood Ranch","Marketing, Advertising & PR",48500
DeRidder,"Engineering or Manufacturing",150000
"Waltham, MA","Marketing, Advertising & PR",89000
McAllen,"Health care",60000
"San Diego",Entertainment,64525
"DC Area","Engineering or Manufacturing",100000
Ra'anana,"Computing or Tech",95000
Vancouver,Beauty,115600
"Fort Lauderdale","Computing or Tech",95187.5
Scranton,"Industry unknown",34000
"Boston, ma","Education (Higher Education)",39000
Asheville,"Education (Higher Education)",145000
Newark,"Media & Digital",65000
"SF Bay Area","Marketing, Advertising & PR",160000
"Denver metro","Public Libraries",70000
"from home","Medica education",90898
Phx,"Government and Public Administration",75000
TBD,"Business or Consulting",220000
"Calgary, AB",Law,65280
Kassel,"Engineering or Manufacturing",50473.5
Nashville,"Hospitality & Events",72333.33333333333
Stellenbosch,"Education (Higher Education)",18805500
"Green Bay","Transport or Logistics",90000
Plano,"Education (Primary/Secondary)",70000
"Twin Cities Metro","Media & Digital",70000
Juneau,"Utilities & Telecommunications",70000
Binghamton,"Government and Public Administration",35580
Scottsdale,"Property or Construction",45000
DC,"Political Campaigns",104000
Lopen,Probiotics,16236
Verona,"Health care",69500
"Des Moines",Retail,38000
Brunswick,"Sales operations",75000
Gloucester,"Education (Higher Education)",62000
"Salt Lake City",Nonprofits,53750
"Chapel Hill","Engineering or Manufacturing",110000
Mesa,"Education (Higher Education)",63000
"Long Island",Nonprofits,89000
Harrodsburg,"Engineering or Manufacturing",75000
Frankfurt,"Engineering or Manufacturing",56810
Bridgewater,"Health care",175000
Toronto,"Government Relation",176800
Boise,Insurance,91000
Lawrence,Library,36192
Swansea,"Business or Consulting",53136
Memphis,"Computing or Tech",144000
Manchester,"Scientific research",16779.906
Marietta,"Government and Public Administration",43000
"Hoffman Estates","Marketing, Advertising & PR",65000
Greensboro,"Engineering or Manufacturing",86083
Silverdale,"Health care",53000
"San Luis Obispo","Computing or Tech",190000
Pietermaritzburg,"Engineering or Manufacturing",7164000
"New York Buty",Sales,95000
Leawood,"Art & Design",47840
London,Academia,25682.4
Williamston,Library,43000
Greensboro,"Transport or Logistics",68000
Bethlehem,"Utilities & Telecommunications",92700
"Winchester, VA","Business or Consulting",37440
Bradenton,"Education (Primary/Secondary)",44631.666666666664
"Foster City","Computing or Tech",520000
Norwich,Retail,15498
"St Louis","Health care",88410
Puyallup,Internet,90000
Athens,"Marketing, Advertising & PR",33000
"Carson City","Marketing, Advertising & PR",45000
"Waterloo, ON, Canada","Computing or Tech",163200
Cardiff,"Transport or Logistics",22361.4
"Cartersville GA","Auto Repair",50000
Valparaiso,"Recruitment or HR",60000
"Pleasant Grove","Computing or Tech",85000
Memphis,"Business or Consulting",40000
"Atlanta, Georgia","Engineering or Manufacturing",63000
"South Bend","Business or Consulting",100000
Newport,"Food/Quick Service Restaurant (QSR)",110000
Chicopee,"Education (Higher Education)",15000
Bedfordshire,"Accounting, Banking & Finance",59040
Alpharetta,Nonprofits,70000
Suitland,Intelligence,110000
Oshkosh,"Art & Design",41891
"Herndon VA","Recruitment or HR",74098
Hickory,"Engineering or Manufacturing",71000
Lynchburg,"Transport or Logistics",55000
"Washington DC","Educational products",42000
Cambridge,Sales,148500
"White Plains","Accounting, Banking & Finance",120000
Stamford,"Public Library",76000
"Los Angeles",Libraries/Archives,41120
Melville,Sales,95000
Buffalo,"Beauty Manufacturing & Education",35360
Bradenton,"Computing or Tech",160000
Kennewick,"Hospitality & Events",13000
"San Angelo","Storage Facility",120000
Hicksville,"Computing or Tech",100000
Remote,Energy,200000
"I'm not comfortable answering that.  Small town with something around 5k people.","Government and Public Administration",19200
Cologne,"Computing or Tech",65113
"Washington, DC","Museum (<20 employees)",52000
Laramie,"Education (Higher Education)",54606
"Vancouver, BC",Law,88400
Bristow,"Healthcare IT",106080
Jupiter,"science research",59000
"Oakland, CA","Recruitment or HR",90000
Saginaw,"Social Work",58000
"New Albany",libraries,46500
"Suffolk County","Health care",37440
Zagreb,"Government and Public Administration",31464
Vilnius,"Computing or Tech",62928
Washington,Sales,70000
"North of Toronto","Government and Public Administration",106760
Berne,"Health care",110160
"San Jose","Content Review - Copyright/DMCA",51000
Nanaimo,"Government and Public Administration",193120
Amherst,"Engineering or Manufacturing",42000
"Brooklyn Park, MN","Health care",96000
Houston,"Media & Digital",77625
"New York City","Research Science",58500
Austin,"Industry unknown",65000
"Manchester, UK","Property or Construction",15350.4
Whitehorse,Nonprofits,81600
Nashua,"Engineering or Manufacturing",88000
Newcastle-upon-Tyne,"Computing or Tech",45756
"Redondo beach","Engineering or Manufacturing",200000
Columbus,Training,87000
"Gwinnett County",Nonprofits,66750
Athens,"Computing or Tech",49000
Telework,Sales,104000
"Alexandria, VA",Nonprofits,63000
"Johnson City",Nonprofits,38000
Atlanta,"Wholesale Industrial & Welding Supplies & Equipment",50000
London,Energy,148000
Exton,"Education (Primary/Secondary)",37440
Morrisville,"Engineering or Manufacturing",28000
Vincennes,Retail,60000
O'Fallon,"Government and Public Administration",46450
Leeds,"Food and Beverage",14760
Denver,"Aerospace and defence",59500
Summit,"Business or Consulting",113500
Athens,"Health care",43680
Bethesda,"Hospitality & Events",137000
"South Yarmouth","Computing or Tech",80000
Nashville,"Engineering or Manufacturing",70875
Pensacola,"Education (Higher Education)",62000
"Southwest MI","Public Health, local government",127000
"North Bay","Health care",100050
Chicago,"Commercial Real Estate",105000
Queens,Nonprofits,59051
SeaTac,Nonprofits,73078
"Petaling Jaya","Security and manufacturing company",36000
"Walnut Creek (SF Bay Area)","Health care",5100
Rosemount,"Art & Design",115000
"Mt Prospect","Business or Consulting",83400
"Des Moines",Manufacturing,88000
"Chestnut Hill","Education (Primary/Secondary)",97000
Honolulu,"Art & Design",55000
Minneapolis,"Agriculture or Forestry",62500
Jacksonville,Insurance,89748.33333333333
"San Francisco","Print publishing",68500
"Port Orchard","Government and Public Administration",70000
"Oak Lawn","Information Services/Libraries",53000
Albany,Entertainment,14000
Fayetteville,"Business or Consulting",40000
Chesterfield,"Education (Primary/Secondary)",32448
"Alpharetta, GA","Health care",110000
London,Communications,37062.36
"Los Angeles","Non-profit Theatre",72000
Houston,"Social Work",36774
"Long Beach",Pharmaceutical,102211
"West Grove","Accounting, Banking & Finance",60320
"Calgary, Alberta","Computing or Tech",183600
"Saint Helena","Computing or Tech",195000
"Salem (remote for Boston Mass)","Computing or Tech",80000
Frederick,"Public Library",41300
Evanston,"Social Work",49500
"East Brunswick",Library,60000
Nashua,"Hospitality & Events",208000
Bismarck,"Health care",72000
Piscataway,"Transport or Logistics",44720
Brisbane,"Health care",150920
"Remote (Southern CA)","Computing or Tech",117000
"Southern CA","Engineering or Manufacturing",168000
Mobile,"Consulting / Professional Services",50000
Anaheim,Nonprofits,120000
Newport,"Health care",46549.7
Jackson,"Recruitment or HR",31200
Bellevue,"Art & Design",115000
"New York","Arts Administration",61000
Melbourne,Pharmaceutical,150920
London,Research,19752.57
"Baltimore County","Public Libraries",110000
Vallejo,"Hospitality & Events",110000
Edmonton,Insurance,102680
Waltham,"Recruitment or HR",131000
Warwick,"Art & Design",85000
"San Diego",Pharmaceutical,92000
Champaign,Insurance,48500
Remotely,"Computing or Tech",55000
Chelsea,"Hospitality & Events",135000
Mclean,Nonprofits,109000
"Johns Creek","Industry unknown",49000
Norman,"Business or Consulting",54000
Kajaani,"Art & Design",29366.4
"Mountain View California","Computing or Tech",180000
Fayetteville,"Health care",71000
Evanston,"Health care",185000
"Silver Spring","Tabletop Games Publishing",42000
Orang,"Education (Higher Education)",50000
Bloomington,"Utilities & Telecommunications",71000
Columbia,"Art & Design",40400
Waynesboro,"Computing or Tech",105000
Anderson,"Transport or Logistics",60000
Sarasota,"Recruitment or HR",73500
Stamford,"Recruitment or HR",81800
"San juan",Nonprofits,30000
Boston,"Public Health",71000
"New Hope","Accounting, Banking & Finance",60000
Novi,"Computing or Tech",150000
Westchester,Law,251000
Fairfax,"Law Enforcement & Security",78000
Bluffton,"Education (Primary/Secondary)",54000
Mccomb,"Engineering or Manufacturing",52000
Amarillo,"Recruitment or HR",90000
"Greater Portland","Education (Higher Education)",61500
"Denver - remote","Computing or Tech",95000
Orlando,Sales,160000
"Remote, company is based in Raleigh NC","Health care",126000
Raleigh,"Survey methodology",71000
"St Loui","Computing or Tech",200000
"Washington, DC",Government,70000
Dublin,Pharmaceuticals,34741.5
Brooklyn,"Professional services / architecture",78000
"New York, NY","Computing or Tech",185000
lowell,"Transport or Logistics",68000
